Player,Pos,Age,Tm,G,MP,FG,FGA,FGPct,ThreeP,ThreePA,ThreePPct,eFGPct,FT,FTA,FTPct,TRB,AST,STL,BLK,PTS
Marvin Bagley III,C,20,SAC,13,25.7,6,12.8,0.467,0.3,1.7,0.182,0.479,1.9,2.4,0.806,7.5,0.8,0.5,0.9,14.2
Lonzo Ball,PG,22,NOP,63,32.1,4.4,10.9,0.403,2.3,6.3,0.375,0.511,0.7,1.2,0.566,6.1,7,1.4,0.6,11.8
Mo Bamba,C,21,ORL,62,14.2,2.1,4.6,0.462,0.6,1.7,0.346,0.526,0.5,0.7,0.674,4.9,0.7,0.4,1.4,5.4
J.J. Barea,PG,35,DAL,29,15.5,2.9,7.1,0.411,1.1,2.9,0.376,0.488,0.7,0.8,0.909,1.8,3.9,0.2,0.1,7.7
Harrison Barnes,PF,27,SAC,72,34.5,5.1,11,0.46,1.4,3.7,0.381,0.525,3,3.7,0.801,4.9,2.2,0.6,0.2,14.5
RJ Barrett,SG,19,NYK,56,30.4,5.2,13,0.402,1.1,3.5,0.32,0.445,2.8,4.5,0.614,5,2.6,1,0.3,14.3
Will Barton,SF,29,DEN,58,33,5.7,12.7,0.45,1.9,5,0.375,0.523,1.8,2.3,0.767,6.3,3.7,1.1,0.5,15.1
Keita Bates-Diop,SF,24,DEN,7,14,1.9,4,0.464,0.4,1.3,0.333,0.518,1.1,1.4,0.8,2.4,0,0.3,0.6,5.3
Nicolas Batum,SF,31,CHO,22,23,1.3,3.7,0.346,0.6,2.2,0.286,0.432,0.4,0.5,0.9,4.5,3,0.8,0.4,3.6
Aron Baynes,C,33,PHO,42,22.2,4.4,9.1,0.48,1.4,4,0.351,0.558,1.3,1.8,0.747,5.6,1.6,0.2,0.5,11.5
Kent Bazemore,SF,30,SAC,25,23.1,3.5,8.3,0.418,1.1,2.9,0.384,0.486,2.2,3,0.733,4.9,1.3,1.2,0.4,10.3
Darius Bazley,PF,19,OKC,61,18.5,2,5.2,0.394,0.8,2.3,0.348,0.472,0.7,1,0.694,4,0.7,0.4,0.7,5.6
Bradley Beal,SG,26,WAS,57,36,10.4,22.9,0.455,3,8.4,0.353,0.52,6.8,8,0.842,4.2,6.1,1.2,0.4,30.5
Malik Beasley,SG,23,MIN,14,33.1,7.9,16.6,0.472,3.5,8.2,0.426,0.577,1.5,2,0.75,5.1,1.9,0.6,0.1,20.7
Marco Belinelli,SG,33,SAS,57,15.5,2.2,5.5,0.392,1.2,3.1,0.376,0.498,0.8,1,0.828,1.7,1.2,0.2,0,6.3
Jordan Bell,C,25,MEM,2,10.5,1.5,3.5,0.429,1,1.5,0.667,0.571,1,1,1,1.5,1,0.5,0,5
DeAndre' Bembry,SG,25,ATL,43,21.3,2.4,5.3,0.456,0.3,1.5,0.231,0.489,0.6,1.1,0.542,3.5,1.9,1.3,0.4,5.8
Dragan Bender,PF,22,GSW,9,21.7,3.4,7.9,0.437,1.2,3.8,0.324,0.514,0.9,1.2,0.727,5.9,2.1,0.4,0.4,9
Dāvis Bertāns,PF,27,WAS,54,29.3,4.9,11.3,0.434,3.7,8.7,0.424,0.598,1.9,2.3,0.852,4.5,1.7,0.7,0.6,15.4
